PROJECTCOD,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,Dsptch_L_D,SmpDspDate,SmpRetDate,Lab_L_D,Labjobno,AnalysisLD,SampWt_g_D,Wtkg,Wtcru_dry_kg,Tot_Weight_CRU,Pass_2mm_pct,Rmnd_2mm_pct,WT_MinusFrac_CRU_g,WT_PlusFrac_CRU_g,Tot_Weight_PUL_g,Pass_75um_pct,Rmnd_75um_pct,WT_MinusFrac_PUL_g,WT_PlusFrac_PUL_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Al_pct,Al_pct_GMD,Al_pct_LDD,Al_pct_UDD,As_ppm,As_ppm_GMD,As_ppm_LDD,As_ppm_UDD,Ba_ppm,Ba_ppm_GMD,Ba_ppm_LDD,Ba_ppm_UDD,Be_ppm,Be_ppm_GMD,Be_ppm_LDD,Be_ppm_UDD,Bi_ppm,Bi_ppm_GMD,Bi_ppm_LDD,Bi_ppm_UDD,Ca_pct,Ca_pct_GMD,Ca_pct_LDD,Ca_pct_UDD,Cd_ppm,Cd_ppm_GMD,Cd_ppm_LDD,Cd_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cr_ppm,Cr_ppm_GMD,Cr_ppm_LDD,Cr_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,K_pct,K_pct_GMD,K_pct_LDD,K_pct_UDD,La_ppm,La_ppm_GMD,La_ppm_LDD,La_ppm_UDD,Li_ppm,Li_ppm_GMD,Li_ppm_LDD,Li_ppm_UDD,Mg_pct,Mg_pct_GMD,Mg_pct_LDD,Mg_pct_UDD,Mn_ppm,Mn_ppm_GMD,Mn_ppm_LDD,Mn_ppm_UDD,Mo_ppm,Mo_ppm_GMD,Mo_ppm_LDD,Mo_ppm_UDD,Na_pct,Na_pct_GMD,Na_pct_LDD,Na_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,P_pct,P_pct_GMD,P_pct_LDD,P_pct_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,S_pct,S_pct_GMD,S_pct_LDD,S_pct_UDD,Sb_ppm,Sb_ppm_GMD,Sb_ppm_LDD,Sb_ppm_UDD,Sc_ppm,Sc_ppm_GMD,Sc_ppm_LDD,Sc_ppm_UDD,Sn_ppm,Sn_ppm_GMD,Sn_ppm_LDD,Sn_ppm_UDD,Sr_ppm,Sr_ppm_GMD,Sr_ppm_LDD,Sr_ppm_UDD,Ti_pct,Ti_pct_GMD,Ti_pct_LDD,Ti_pct_UDD,V_ppm,V_ppm_GMD,V_ppm_LDD,V_ppm_UDD,W_ppm,W_ppm_GMD,W_ppm_LDD,W_ppm_UDD,Y_ppm,Y_ppm_GMD,Y_ppm_LDD,Y_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD,Zr_ppm,Zr_ppm_GMD,Zr_ppm_LDD,Zr_ppm_UDD,Ag_ppm_AAS42S,Ag_ppm_AAS42S_GMD,Ag_ppm_AAS42S_LDD,Ag_ppm_AAS42S_UDD,Cu_pct,Cu_pct_GMD,Cu_pct_LDD,Cu_pct_UDD
Tannenberg Copper Project,,PAL01484,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,1.84,1.84,1.84,,,,,,,,,,,<2,ICP40B,2,10,4.00,ICP40B,0.01,15,4,ICP40B,3,10000,1296,ICP40B,1,10000,0.9,ICP40B,0.5,2500,<5,ICP40B,5,10000,7.13,ICP40B,0.01,15,<1,ICP40B,1,10000,3,ICP40B,1,10000,29,ICP40B,1,10000,8.1,ICP40B,0.5,10000,0.92,ICP40B,0.01,15,2.16,ICP40B,0.01,15,14.0,ICP40B,0.5,10000,42,ICP40B,1,10000,0.30,ICP40B,0.01,15,1365,ICP40B,2,10000,1,ICP40B,1,10000,0.66,ICP40B,0.01,15,11,ICP40B,1,10000,0.03,ICP40B,0.01,15,171,ICP40B,2,10000,0.07,ICP40B,0.01,5,<5,ICP40B,5,10000,2.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,374,ICP40B,0.5,5000,0.06,ICP40B,0.01,15,15,ICP40B,2,10000,<10,ICP40B,10,10000,14.3,ICP40B,0.5,10000,16,ICP40B,1,10000,44.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01485,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,1.17,1.17,1.17,,,,,,,,,,,<2,ICP40B,2,10,4.45,ICP40B,0.01,15,9,ICP40B,3,10000,1465,ICP40B,1,10000,1.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,6.07,ICP40B,0.01,15,<1,ICP40B,1,10000,3,ICP40B,1,10000,24,ICP40B,1,10000,9.3,ICP40B,0.5,10000,1.31,ICP40B,0.01,15,2.89,ICP40B,0.01,15,13.7,ICP40B,0.5,10000,39,ICP40B,1,10000,0.21,ICP40B,0.01,15,1151,ICP40B,2,10000,2,ICP40B,1,10000,0.77,ICP40B,0.01,15,12,ICP40B,1,10000,0.03,ICP40B,0.01,15,15,ICP40B,2,10000,0.07,ICP40B,0.01,5,<5,ICP40B,5,10000,2.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,442,ICP40B,0.5,5000,0.06,ICP40B,0.01,15,12,ICP40B,2,10000,<10,ICP40B,10,10000,14.8,ICP40B,0.5,10000,16,ICP40B,1,10000,53.7,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01486,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,1.91,1.91,1.91,,,,,,,,,,,<2,ICP40B,2,10,4.33,ICP40B,0.01,15,7,ICP40B,3,10000,842,ICP40B,1,10000,1.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,5.50,ICP40B,0.01,15,<1,ICP40B,1,10000,3,ICP40B,1,10000,31,ICP40B,1,10000,5.0,ICP40B,0.5,10000,1.47,ICP40B,0.01,15,1.75,ICP40B,0.01,15,13.9,ICP40B,0.5,10000,36,ICP40B,1,10000,0.29,ICP40B,0.01,15,1542,ICP40B,2,10000,<1,ICP40B,1,10000,1.00,ICP40B,0.01,15,15,ICP40B,1,10000,0.04,ICP40B,0.01,15,16,ICP40B,2,10000,0.04,ICP40B,0.01,5,<5,ICP40B,5,10000,4.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,212,ICP40B,0.5,5000,0.13,ICP40B,0.01,15,28,ICP40B,2,10000,<10,ICP40B,10,10000,15.0,ICP40B,0.5,10000,15,ICP40B,1,10000,38.9,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01487,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,3.46,3.46,3.46,,,,,,,,,,,<2,ICP40B,2,10,4.14,ICP40B,0.01,15,6,ICP40B,3,10000,2037,ICP40B,1,10000,1.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.61,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,28,ICP40B,1,10000,4.4,ICP40B,0.5,10000,1.79,ICP40B,0.01,15,1.66,ICP40B,0.01,15,9.9,ICP40B,0.5,10000,45,ICP40B,1,10000,0.72,ICP40B,0.01,15,890,ICP40B,2,10000,<1,ICP40B,1,10000,0.90,ICP40B,0.01,15,21,ICP40B,1,10000,0.03,ICP40B,0.01,15,16,ICP40B,2,10000,0.09,ICP40B,0.01,5,<5,ICP40B,5,10000,4.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,817,ICP40B,0.5,5000,0.13,ICP40B,0.01,15,27,ICP40B,2,10000,<10,ICP40B,10,10000,9.4,ICP40B,0.5,10000,30,ICP40B,1,10000,35.1,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,*DUP-PAL01487,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,3.93,ICP40B,0.01,15,7,ICP40B,3,10000,2011,ICP40B,1,10000,1.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.49,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,31,ICP40B,1,10000,4.7,ICP40B,0.5,10000,1.80,ICP40B,0.01,15,1.63,ICP40B,0.01,15,9.8,ICP40B,0.5,10000,44,ICP40B,1,10000,0.70,ICP40B,0.01,15,888,ICP40B,2,10000,1,ICP40B,1,10000,0.90,ICP40B,0.01,15,21,ICP40B,1,10000,0.03,ICP40B,0.01,15,17,ICP40B,2,10000,0.09,ICP40B,0.01,5,<5,ICP40B,5,10000,3.9,ICP40B,0.5,10000,<10,ICP40B,10,10000,764,ICP40B,0.5,5000,0.13,ICP40B,0.01,15,28,ICP40B,2,10000,<10,ICP40B,10,10000,9.2,ICP40B,0.5,10000,29,ICP40B,1,10000,34.7,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01488,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,3.30,3.30,3.30,,,,,,,,,,,<2,ICP40B,2,10,4.78,ICP40B,0.01,15,7,ICP40B,3,10000,705,ICP40B,1,10000,1.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.50,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,22,ICP40B,1,10000,4.1,ICP40B,0.5,10000,1.93,ICP40B,0.01,15,2.20,ICP40B,0.01,15,9.9,ICP40B,0.5,10000,43,ICP40B,1,10000,0.58,ICP40B,0.01,15,531,ICP40B,2,10000,<1,ICP40B,1,10000,0.78,ICP40B,0.01,15,23,ICP40B,1,10000,0.04,ICP40B,0.01,15,23,ICP40B,2,10000,0.03,ICP40B,0.01,5,<5,ICP40B,5,10000,3.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,155,ICP40B,0.5,5000,0.11,ICP40B,0.01,15,24,ICP40B,2,10000,<10,ICP40B,10,10000,7.8,ICP40B,0.5,10000,28,ICP40B,1,10000,41.0,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01489,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,3.28,3.28,3.28,500.0,76.20,23.80,381.0,119.0,20.0,87.50,12.50,17.5,2.5,<2,ICP40B,2,10,4.42,ICP40B,0.01,15,5,ICP40B,3,10000,336,ICP40B,1,10000,1.1,ICP40B,0.5,2500,<5,ICP40B,5,10000,4.37,ICP40B,0.01,15,<1,ICP40B,1,10000,4,ICP40B,1,10000,21,ICP40B,1,10000,4.5,ICP40B,0.5,10000,1.37,ICP40B,0.01,15,1.92,ICP40B,0.01,15,12.4,ICP40B,0.5,10000,35,ICP40B,1,10000,0.33,ICP40B,0.01,15,977,ICP40B,2,10000,<1,ICP40B,1,10000,0.89,ICP40B,0.01,15,17,ICP40B,1,10000,0.04,ICP40B,0.01,15,41,ICP40B,2,10000,0.01,ICP40B,0.01,5,<5,ICP40B,5,10000,4.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,123,ICP40B,0.5,5000,0.11,ICP40B,0.01,15,23,ICP40B,2,10000,<10,ICP40B,10,10000,11.8,ICP40B,0.5,10000,15,ICP40B,1,10000,36.0,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01490,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,2.85,2.85,2.85,,,,,,,,,,,<2,ICP40B,2,10,4.27,ICP40B,0.01,15,6,ICP40B,3,10000,285,ICP40B,1,10000,1.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.93,ICP40B,0.01,15,<1,ICP40B,1,10000,4,ICP40B,1,10000,21,ICP40B,1,10000,4.1,ICP40B,0.5,10000,1.57,ICP40B,0.01,15,1.99,ICP40B,0.01,15,10.6,ICP40B,0.5,10000,33,ICP40B,1,10000,0.29,ICP40B,0.01,15,871,ICP40B,2,10000,<1,ICP40B,1,10000,0.85,ICP40B,0.01,15,16,ICP40B,1,10000,0.04,ICP40B,0.01,15,30,ICP40B,2,10000,0.01,ICP40B,0.01,5,<5,ICP40B,5,10000,3.6,ICP40B,0.5,10000,<10,ICP40B,10,10000,89.9,ICP40B,0.5,5000,0.11,ICP40B,0.01,15,22,ICP40B,2,10000,<10,ICP40B,10,10000,11.5,ICP40B,0.5,10000,15,ICP40B,1,10000,36.7,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01491,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,2.50,2.50,2.50,,,,,,,,,,,<2,ICP40B,2,10,4.52,ICP40B,0.01,15,8,ICP40B,3,10000,275,ICP40B,1,10000,1.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,3.72,ICP40B,0.01,15,<1,ICP40B,1,10000,4,ICP40B,1,10000,25,ICP40B,1,10000,4.5,ICP40B,0.5,10000,1.61,ICP40B,0.01,15,2.02,ICP40B,0.01,15,14.1,ICP40B,0.5,10000,37,ICP40B,1,10000,0.32,ICP40B,0.01,15,918,ICP40B,2,10000,<1,ICP40B,1,10000,0.72,ICP40B,0.01,15,16,ICP40B,1,10000,0.04,ICP40B,0.01,15,221,ICP40B,2,10000,0.02,ICP40B,0.01,5,<5,ICP40B,5,10000,4.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,110,ICP40B,0.5,5000,0.13,ICP40B,0.01,15,33,ICP40B,2,10000,<10,ICP40B,10,10000,11.9,ICP40B,0.5,10000,17,ICP40B,1,10000,45.3,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01492,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,3.13,3.13,3.13,,,,,,,,,,,<2,ICP40B,2,10,3.90,ICP40B,0.01,15,5,ICP40B,3,10000,740,ICP40B,1,10000,1.1,ICP40B,0.5,2500,<5,ICP40B,5,10000,3.87,ICP40B,0.01,15,<1,ICP40B,1,10000,8,ICP40B,1,10000,21,ICP40B,1,10000,7.3,ICP40B,0.5,10000,1.74,ICP40B,0.01,15,1.84,ICP40B,0.01,15,9.7,ICP40B,0.5,10000,35,ICP40B,1,10000,0.73,ICP40B,0.01,15,1131,ICP40B,2,10000,<1,ICP40B,1,10000,0.74,ICP40B,0.01,15,27,ICP40B,1,10000,0.03,ICP40B,0.01,15,48,ICP40B,2,10000,0.04,ICP40B,0.01,5,<5,ICP40B,5,10000,3.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,308,ICP40B,0.5,5000,0.09,ICP40B,0.01,15,20,ICP40B,2,10000,<10,ICP40B,10,10000,10.4,ICP40B,0.5,10000,42,ICP40B,1,10000,33.8,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01493,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,1.70,1.70,1.70,,,,,,,,,,,<2,ICP40B,2,10,0.51,ICP40B,0.01,15,<3,ICP40B,3,10000,19,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,2,ICP40B,1,10000,3.4,ICP40B,0.5,10000,0.44,ICP40B,0.01,15,0.17,ICP40B,0.01,15,3.0,ICP40B,0.5,10000,11,ICP40B,1,10000,11.0,ICP40B,0.01,15,587,ICP40B,2,10000,<1,ICP40B,1,10000,0.05,ICP40B,0.01,15,2,ICP40B,1,10000,<0.01,ICP40B,0.01,15,11,ICP40B,2,10000,0.03,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,31.8,ICP40B,0.5,5000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,2.7,ICP40B,0.5,10000,40,ICP40B,1,10000,10.3,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01494,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,3.62,3.62,3.62,,,,,,,,,,,<2,ICP40B,2,10,4.22,ICP40B,0.01,15,8,ICP40B,3,10000,200,ICP40B,1,10000,1.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,6.30,ICP40B,0.01,15,<1,ICP40B,1,10000,4,ICP40B,1,10000,26,ICP40B,1,10000,6.2,ICP40B,0.5,10000,1.65,ICP40B,0.01,15,1.77,ICP40B,0.01,15,13.1,ICP40B,0.5,10000,35,ICP40B,1,10000,0.32,ICP40B,0.01,15,1228,ICP40B,2,10000,1,ICP40B,1,10000,0.79,ICP40B,0.01,15,17,ICP40B,1,10000,0.04,ICP40B,0.01,15,24,ICP40B,2,10000,0.01,ICP40B,0.01,5,<5,ICP40B,5,10000,4.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,127,ICP40B,0.5,5000,0.13,ICP40B,0.01,15,28,ICP40B,2,10000,<10,ICP40B,10,10000,13.4,ICP40B,0.5,10000,27,ICP40B,1,10000,41.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01495,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,3.31,3.31,3.31,,,,,,,,,,,<2,ICP40B,2,10,5.55,ICP40B,0.01,15,14,ICP40B,3,10000,243,ICP40B,1,10000,1.9,ICP40B,0.5,2500,<5,ICP40B,5,10000,4.23,ICP40B,0.01,15,<1,ICP40B,1,10000,6,ICP40B,1,10000,32,ICP40B,1,10000,5.5,ICP40B,0.5,10000,2.53,ICP40B,0.01,15,2.51,ICP40B,0.01,15,20.5,ICP40B,0.5,10000,37,ICP40B,1,10000,0.44,ICP40B,0.01,15,1508,ICP40B,2,10000,1,ICP40B,1,10000,0.81,ICP40B,0.01,15,25,ICP40B,1,10000,0.04,ICP40B,0.01,15,22,ICP40B,2,10000,0.02,ICP40B,0.01,5,<5,ICP40B,5,10000,5.9,ICP40B,0.5,10000,<10,ICP40B,10,10000,123,ICP40B,0.5,5000,0.17,ICP40B,0.01,15,45,ICP40B,2,10000,<10,ICP40B,10,10000,18.6,ICP40B,0.5,10000,21,ICP40B,1,10000,51.8,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01496,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,3.30,3.30,3.30,,,,,,,,,,,<2,ICP40B,2,10,4.58,ICP40B,0.01,15,14,ICP40B,3,10000,258,ICP40B,1,10000,1.3,ICP40B,0.5,2500,<5,ICP40B,5,10000,3.52,ICP40B,0.01,15,<1,ICP40B,1,10000,6,ICP40B,1,10000,31,ICP40B,1,10000,5.4,ICP40B,0.5,10000,2.06,ICP40B,0.01,15,1.97,ICP40B,0.01,15,19.2,ICP40B,0.5,10000,38,ICP40B,1,10000,0.34,ICP40B,0.01,15,1055,ICP40B,2,10000,<1,ICP40B,1,10000,0.80,ICP40B,0.01,15,20,ICP40B,1,10000,0.04,ICP40B,0.01,15,12,ICP40B,2,10000,0.02,ICP40B,0.01,5,<5,ICP40B,5,10000,4.8,ICP40B,0.5,10000,<10,ICP40B,10,10000,119,ICP40B,0.5,5000,0.15,ICP40B,0.01,15,36,ICP40B,2,10000,<10,ICP40B,10,10000,12.9,ICP40B,0.5,10000,18,ICP40B,1,10000,46.8,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01497,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,3.05,3.05,3.05,,,,,,,,,,,<2,ICP40B,2,10,4.69,ICP40B,0.01,15,16,ICP40B,3,10000,252,ICP40B,1,10000,1.4,ICP40B,0.5,2500,<5,ICP40B,5,10000,4.86,ICP40B,0.01,15,<1,ICP40B,1,10000,9,ICP40B,1,10000,30,ICP40B,1,10000,6.3,ICP40B,0.5,10000,2.13,ICP40B,0.01,15,2.01,ICP40B,0.01,15,21.5,ICP40B,0.5,10000,38,ICP40B,1,10000,0.35,ICP40B,0.01,15,1326,ICP40B,2,10000,<1,ICP40B,1,10000,0.82,ICP40B,0.01,15,31,ICP40B,1,10000,0.04,ICP40B,0.01,15,13,ICP40B,2,10000,0.02,ICP40B,0.01,5,5,ICP40B,5,10000,5.4,ICP40B,0.5,10000,<10,ICP40B,10,10000,126,ICP40B,0.5,5000,0.17,ICP40B,0.01,15,37,ICP40B,2,10000,<10,ICP40B,10,10000,14.8,ICP40B,0.5,10000,21,ICP40B,1,10000,52.1,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01498,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,3.35,3.35,3.35,,,,,,,,,,,<2,ICP40B,2,10,4.24,ICP40B,0.01,15,9,ICP40B,3,10000,732,ICP40B,1,10000,1.1,ICP40B,0.5,2500,<5,ICP40B,5,10000,3.97,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,25,ICP40B,1,10000,5.5,ICP40B,0.5,10000,1.51,ICP40B,0.01,15,1.90,ICP40B,0.01,15,12.8,ICP40B,0.5,10000,33,ICP40B,1,10000,0.38,ICP40B,0.01,15,915,ICP40B,2,10000,<1,ICP40B,1,10000,0.83,ICP40B,0.01,15,18,ICP40B,1,10000,0.04,ICP40B,0.01,15,9,ICP40B,2,10000,0.03,ICP40B,0.01,5,<5,ICP40B,5,10000,3.7,ICP40B,0.5,10000,<10,ICP40B,10,10000,220,ICP40B,0.5,5000,0.12,ICP40B,0.01,15,27,ICP40B,2,10000,<10,ICP40B,10,10000,11.5,ICP40B,0.5,10000,17,ICP40B,1,10000,40.8,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01499,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,3.44,3.44,3.44,,,,,,,,,,,<2,ICP40B,2,10,4.42,ICP40B,0.01,15,14,ICP40B,3,10000,1402,ICP40B,1,10000,1.1,ICP40B,0.5,2500,<5,ICP40B,5,10000,4.66,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,28,ICP40B,1,10000,4.8,ICP40B,0.5,10000,1.94,ICP40B,0.01,15,1.83,ICP40B,0.01,15,17.5,ICP40B,0.5,10000,35,ICP40B,1,10000,0.34,ICP40B,0.01,15,1212,ICP40B,2,10000,<1,ICP40B,1,10000,0.86,ICP40B,0.01,15,19,ICP40B,1,10000,0.04,ICP40B,0.01,15,12,ICP40B,2,10000,0.05,ICP40B,0.01,5,5,ICP40B,5,10000,4.6,ICP40B,0.5,10000,<10,ICP40B,10,10000,281,ICP40B,0.5,5000,0.15,ICP40B,0.01,15,34,ICP40B,2,10000,<10,ICP40B,10,10000,14.6,ICP40B,0.5,10000,15,ICP40B,1,10000,48.5,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01500,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,3.47,3.47,3.47,,,,,,,,,,,<2,ICP40B,2,10,4.37,ICP40B,0.01,15,15,ICP40B,3,10000,3683,ICP40B,1,10000,1.1,ICP40B,0.5,2500,<5,ICP40B,5,10000,3.52,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,23,ICP40B,1,10000,6.1,ICP40B,0.5,10000,1.65,ICP40B,0.01,15,1.80,ICP40B,0.01,15,17.9,ICP40B,0.5,10000,32,ICP40B,1,10000,0.36,ICP40B,0.01,15,1095,ICP40B,2,10000,<1,ICP40B,1,10000,0.86,ICP40B,0.01,15,20,ICP40B,1,10000,0.04,ICP40B,0.01,15,11,ICP40B,2,10000,0.12,ICP40B,0.01,5,<5,ICP40B,5,10000,4.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,675,ICP40B,0.5,5000,0.13,ICP40B,0.01,15,30,ICP40B,2,10000,<10,ICP40B,10,10000,13.2,ICP40B,0.5,10000,15,ICP40B,1,10000,42.7,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01501,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,1.90,1.90,1.90,,,,,,,,,,,<2,ICP40B,2,10,4.35,ICP40B,0.01,15,12,ICP40B,3,10000,2278,ICP40B,1,10000,1.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,6.19,ICP40B,0.01,15,<1,ICP40B,1,10000,4,ICP40B,1,10000,28,ICP40B,1,10000,4.1,ICP40B,0.5,10000,1.76,ICP40B,0.01,15,1.37,ICP40B,0.01,15,26.2,ICP40B,0.5,10000,33,ICP40B,1,10000,0.36,ICP40B,0.01,15,2490,ICP40B,2,10000,<1,ICP40B,1,10000,0.89,ICP40B,0.01,15,16,ICP40B,1,10000,0.04,ICP40B,0.01,15,7,ICP40B,2,10000,0.07,ICP40B,0.01,5,<5,ICP40B,5,10000,5.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,387,ICP40B,0.5,5000,0.15,ICP40B,0.01,15,36,ICP40B,2,10000,<10,ICP40B,10,10000,21.4,ICP40B,0.5,10000,14,ICP40B,1,10000,46.4,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01502,Core,Drill Core,Drillhole,TR2502686     130             376,08-Nov-25,14-Nov-25,TR2502686,TR2502686     130             376,,1.71,1.71,1.71,,,,,,,,,,,<2,ICP40B,2,10,3.99,ICP40B,0.01,15,11,ICP40B,3,10000,6433,ICP40B,1,10000,1.3,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.22,ICP40B,0.01,15,<1,ICP40B,1,10000,8,ICP40B,1,10000,43,ICP40B,1,10000,9.8,ICP40B,0.5,10000,1.90,ICP40B,0.01,15,1.39,ICP40B,0.01,15,24.3,ICP40B,0.5,10000,29,ICP40B,1,10000,0.64,ICP40B,0.01,15,899,ICP40B,2,10000,1,ICP40B,1,10000,0.82,ICP40B,0.01,15,29,ICP40B,1,10000,0.03,ICP40B,0.01,15,9,ICP40B,2,10000,0.21,ICP40B,0.01,5,<5,ICP40B,5,10000,5.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,959,ICP40B,0.5,5000,0.16,ICP40B,0.01,15,38,ICP40B,2,10000,<10,ICP40B,10,10000,12.9,ICP40B,0.5,10000,28,ICP40B,1,10000,66.7,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
